SPP,Month,Day,Year,PERCENT,PLANTS,nplants_flushing,Angle
ingafa,Mar,1,2002,5.8824,51,3,60
ingafa,Apr,1,2002,0,49,0,90
ingafa,May,1,2002,6.25,48,3,120
ingafa,Jun,1,2002,0,46,0,150
ingafa,Jul,1,2002,2.0408,49,1,180
ingafa,Aug,1,2002,2.1739,46,1,210
ingafa,Sep,1,2002,4.4444,45,2,240
ingafa,Oct,1,2002,6,50,3,270
ingafa,Nov,1,2002,4,50,2,300
ingafa,Dec,1,2002,2,50,1,330
ingafa,Jan,1,2003,12,50,6,0
ingafa,Feb,1,2003,1.9608,51,1,30
ingafa,Mar,1,2003,18,50,9,60
ingafa,Apr,1,2003,8,50,4,90
ingafa,May,1,2003,8.1633,49,4,120
ingafa,Jun,1,2003,0,50,0,150
ingafa,Jul,1,2003,0,51,0,180
ingafa,Aug,1,2003,0,49,0,210
ingafa,Sep,1,2003,2.0408,49,1,240
ingafa,Oct,1,2003,0,51,0,270
ingafa,Nov,1,2003,2,50,1,300
ingafa,Dec,1,2003,6,50,3,330
ingafa,Jan,1,2004,47.8261,46,22,0
ingafa,Feb,1,2004,10.2041,49,5,30
ingafa,Mar,1,2004,6.1224,49,3,60
ingafa,Apr,1,2004,8.1633,49,4,90
ingafa,May,1,2004,14,50,7,120
ingafa,Jun,1,2004,2.0408,49,1,150
ingafa,Jul,1,2004,4.1667,48,2,180
ingafa,Aug,1,2004,12.2449,49,6,210
ingafa,Sep,1,2004,7.6923,39,3,240
ingafa,Oct,1,2004,35.8974,39,14,270
ingafa,Nov,1,2004,0,42,0,300
ingas1,Mar,1,2001,43.75,16,7,60
ingas1,Apr,1,2001,24.5283,53,13,90
ingas1,May,1,2001,15.0943,53,8,120
ingas1,Jun,1,2001,32.0755,53,17,150
ingas1,Jul,1,2001,0,53,0,180
ingas1,Aug,1,2001,0,53,0,210
ingas1,Sep,1,2001,5.6604,53,3,240
ingas1,Oct,1,2001,5.6604,53,3,270
ingas1,Nov,1,2001,41.5094,53,22,300
ingas1,Dec,1,2001,17.3077,52,9,330
ingas1,Jan,1,2002,5.6604,53,3,0
ingas1,Feb,1,2002,80.3922,51,41,30
ingas1,Mar,1,2002,16,50,8,60
ingas1,Apr,1,2002,2,50,1,90
ingas1,May,1,2002,14.6,48,7,120
ingas1,Jun,1,2002,0,49,0,150
ingas1,Jul,1,2002,0,49,0,180
ingas1,Aug,1,2002,2,50,1,210
ingas1,Sep,1,2002,1.9231,52,1,240
ingas1,Oct,1,2002,13.7255,51,7,270
ingas1,Nov,1,2002,5.8824,51,3,300
ingas1,Dec,1,2002,13.7255,51,7,330
ingas1,Jan,1,2003,47.8261,46,22,0
ingas1,Feb,1,2003,1.9608,51,1,30
ingas1,Mar,1,2003,5.8824,51,3,60
ingas1,Apr,1,2003,2.0408,49,1,90
ingas1,May,1,2003,36.7347,49,18,120
ingas1,Jun,1,2003,0,46,0,150
ingas1,Jul,1,2003,0,47,0,180
ingas1,Aug,1,2003,2.1277,47,1,210
ingas1,Sep,1,2003,2.0408,48,1,240
ingas1,Oct,1,2003,20.8333,48,10,270
ingas1,Nov,1,2003,0,48,0,300
ingas1,Dec,1,2003,12.2449,49,6,330
ingas1,Jan,1,2004,61.2245,49,30,0
ingas1,Feb,1,2004,10.2041,49,5,30
ingas1,Mar,1,2004,4.1667,48,2,60
ingas1,Apr,1,2004,10.2041,49,5,90
ingas1,May,1,2004,12,50,6,120
ingas1,Jun,1,2004,6.1124,49,3,150
ingas1,Jul,1,2004,0,48,0,180
ingas1,Aug,1,2004,12,50,6,210
ingas1,Sep,1,2004,12.2449,49,6,240
ingas1,Oct,1,2004,31.25,48,15,270
ingas1,Nov,1,2004,46.9388,49,23,300
ingasa,Mar,1,2001,27.2727,11,3,60
ingasa,Apr,1,2001,12,25,3,90
ingasa,May,1,2001,3.4483,29,1,120
ingasa,Jun,1,2001,39.3939,33,13,150
ingasa,Jul,1,2001,7.8947,38,3,180
ingasa,Aug,1,2001,0,47,0,210
ingasa,Sep,1,2001,22.9167,48,11,240
ingasa,Oct,1,2001,8.3333,48,4,270
ingasa,Nov,1,2001,24.4898,49,12,300
ingasa,Dec,1,2001,6.1224,49,3,330
ingasa,Jan,1,2002,20.4082,49,10,0
ingasa,Feb,1,2002,55.102,49,27,30
ingasa,Mar,1,2002,8.1633,49,4,60
ingasa,Apr,1,2002,12.25,49,6,90
ingasa,May,1,2002,30.6122,49,15,120
